区县,常住人口（万人）,出生率(‰),GDP（亿元）,义务教育投入,年份,教育财政拨款情况（万元）,高中在校学生人均经费情况（元）,中等职业学校在校学生人均经费情况（元）,初中在校学生人均经费情况（元）,小学在校学生人均经费情况（元）,幼儿园在园幼儿人均经费情况（元）,大学生（万人）,高中生（万人）,初中生（万人）,小学生（万人）,在园幼儿（万人）
黄浦区,65.08,,2577.97,,2019,378841.34,69119.71,73439.47,60606.13,45655.31,44303.18,,0.93,1.45,2.11,1.17
徐汇区,109.46,6.28,2111.01,,2019,321014.53,58548.61,44541.56,47526.96,30437.58,39090.14,,1.16,2.82,4.57,2.47
长宁区,63,,1649.14,,2019,207266.19,69688.11,80937.62,52759.47,32271.42,39654.12,,0.45,1.3,2.25,1.27
静安区,105.77,,2298.74,,2019,439567.91,74198.49,69415.18,60535.77,42515.48,42500.36,,,,3.6,2.21
普陀区,88,,,,2019,293725.49,57161.73,47224.12,47592.57,31746.13,33056.49,,,,4.1,2.75
虹口区,79.4,5.08,1032.97,,2019,308567.22,82602.69,55305.82,66661.56,40419.56,42924.37,,,,2.29,1.33
杨浦区,130.49,5.71,2083.19,,2019,316697.73,58787.09,91567.87,49996.41,37046.56,34229.17,,1.07,2.22,3.99,2.65
闵行区,254.93,7.5,2520.82,,2019,633793.99,53736.32,47611.57,48478.98,31620.43,38632.33,,0.97,2.71,9.85,7.14
宝山区,204.43,6.3,1551.51,,2019,495354.82,48650.62,55441.71,38482.64,30947.49,31469.98,,0.7,1.62,7.03,5.67
嘉定区,159.6,7.74,2608.12,,2019,393885.37,53349.51,45494.25,47086.41,31270.02,41916.06,,0.7,1.48,5.15,4.07
浦东新区,556.7,7.47,12734.25,,2019,1284696.75,52007.1,53989,40351.21,28928.73,30853.19,,,,20.48,13.29
金山区,52,,1077.15,,2019,252678.09,52687,58842.89,52448.13,36546.12,36361.26,,,,2.55,
松江区,177.19,7.75,1579.71,,2019,397013.54,55799.48,46787.27,42764.25,27708.71,31909.49,,0.86,2.92,6.54,4.95
青浦区,123.31,6.74,1166.25,,2019,277005.24,59841.54,56344.62,47437.07,42369.02,41714.12,,0.59,1.62,3.16,2.78
奉贤区,115.78,5.5,1173.2,,2019,280015.54,52257.31,49142.2,43381.86,32650.14,34793.8,,0.64,1.79,3.44,2.59
崇明区,69,4.48,378.51,,2019,196782.48,76931.47,54865.39,68164.38,53931.72,43995.83,,0.44,1.12,1.56,0.91
黄浦区,65.38,,2270.31,,2018,378807.33,61607.21,63925.6,53707.71,40713.86,39500.47,,,,,
徐汇区,108.44,6.64,1667.39,,2018,284734.62,54258.66,38319.51,44237.44,28247.46,34790.43,,1.25,2.63,4.42,2.45
长宁区,69.4,,1418.78,,2018,206231.48,65188.82,79680.7,49853.79,30066.95,38335.79,,,,,
静安区,106.28,,1833.27,,2018,419675.48,71865.24,67609.46,59530.5,41349.31,37992.27,,,,,
普陀区,128.8881,,,,2018,291408.14,54293.88,45366.21,47135.5,31182.64,30624.04,,,,,
虹口区,79.7,5.44,965.01,,2018,276857.94,69543,44617.02,59150.35,36664.9,33755.24,,,,2.28,1.36
杨浦区,131.27,5.93,1969.28,,2018,283635.78,58200.26,88935.34,49433.13,36642.91,33640.46,,1.06,2.05,3.79,2.68
闵行区,254.35,8.09,2402.54,,2018,572265.41,70021.24,43353.02,48473.07,31516.75,35072.22,,0.89,2.43,9.45,7.33
宝山区,204.23,6.52,1469.98,,2018,463442.93,48576.17,47073.39,38410.86,30916.71,29254.3,,0.69,1.65,6.76,5.78
